38.616908,28.015207
38.611159,28.054275
38.589963,28.001057
38.580427,27.956781
38.559662,28.043018
38.517530,28.042047
38.481097,28.034467
38.488845,28.119738
38.502174,28.138464
38.548473,28.139857
38.540263,28.101191
38.551644,28.115792
38.560859,28.118711
38.564203,28.106085
38.567824,28.099015
38.570325,28.090117
38.572527,28.072459
38.583715,28.097869
38.586973,28.119237
38.576829,28.129104
38.578291,28.149356
38.577492,28.163051
38.564079,28.158126
38.588283,28.090902
38.517877,27.875221
38.546573,27.891746
38.575729,27.872420
38.613123,27.860608
38.614084,27.915117
38.621516,27.957810
38.549979,27.955773
38.553153,28.020528
38.587717,28.035874
38.586801,28.061377
38.583168,28.069960
38.589693,28.076942
38.589931,28.087032
38.586386,28.096158
38.582902,28.088435
38.578668,28.074724
38.572988,28.068661
38.569158,28.077903
38.565675,28.085519
38.558305,28.088004
38.546992,28.076003
38.541862,28.082264
38.535756,28.081327
38.527725,28.083440
38.530131,28.094821
38.523682,28.090077
